country
Abkhazia
Brunei
Cape Colony
Carniolan
Chechen
"Congo, Dem. Rep."
"Congo, Dem. Rep. of"
Cook Island
Cote d'Ivoire
Curacao
Czech Republic
Czechia
Dagestani
East Timorese
El Salvador
Faroese
French Guiana
French Polynesia
Georgia
Greenlandic
Guadeloupe
Guam
Guernsey
Hondura
Honduras
Incan
Ivorian
Jersey
Martinique
Montserratian
New Caledonia
Niuean
Oman
Omani
Ossetian
Palau
Palauan
Palestinian Territory
Pitcairn Islands
Puerto Rico
Rhodesian
Rojava
Saint Kitts and Nevis
Saint Lucia
Saint Lucian
Saint Vincent and the Grenadines
Salvadoran
Samoa
Samoan
Somaliland
South African Republic
South Korean
South Ossetian
St. Kitts-Nevis
St. Vincent and the Grenadines
Swaziland
Timor-Leste
Tokelauan
Western Sahara
eSwatini
